index,Value
2014-12-16,10.264782608695665
2014-12-17,10.36434782608697
2014-12-18,10.463913043478275
2014-12-19,10.56347826086958
2014-12-22,10.663043478260885
2014-12-23,10.76260869565219
2014-12-24,10.862173913043495
2014-12-25,10.9617391304348
2014-12-26,11.061304347826105
2014-12-29,11.16086956521741
2014-12-30,11.260434782608716
2014-12-31,11.36000000000002
2015-01-05,11.540500000000021
2015-01-06,11.721000000000021
2015-01-08,11.901500000000022
2015-01-09,12.082000000000022
2015-01-12,12.262500000000022
2015-01-13,12.443000000000023
2015-01-14,12.623500000000023
2015-01-15,12.804000000000023
2015-01-16,12.984500000000024
2015-01-19,13.165000000000024
2015-01-20,13.345500000000024
2015-01-21,13.526000000000025
2015-01-22,13.706500000000025
2015-01-23,13.887000000000025
2015-01-26,14.067500000000026
2015-01-27,14.248000000000026
2015-01-28,14.428500000000026
2015-01-29,14.609000000000027
2015-01-30,14.789500000000027
2015-01-31,14.970000000000027
2015-02-02,15.057000000000027
2015-02-03,15.144000000000027
2015-02-04,15.231000000000027
2015-02-05,15.318000000000026
2015-02-06,15.405000000000026
2015-02-09,15.492000000000026
2015-02-10,15.579000000000025
2015-02-11,15.666000000000025
2015-02-12,15.753000000000025
2015-02-13,15.840000000000025
2015-02-16,15.927000000000024
2015-02-17,16.014000000000024
2015-02-18,16.101000000000024
2015-02-19,16.188000000000024
2015-02-20,16.275000000000023
2015-02-24,16.362000000000023
2015-02-25,16.449000000000023
2015-02-26,16.536000000000023
2015-02-27,16.623000000000022
2015-02-28,16.710000000000022
2015-03-02,16.720476190476212
2015-03-03,16.730952380952402
2015-03-04,16.741428571428592
2015-03-05,16.751904761904783
2015-03-06,16.762380952380973
2015-03-10,16.772857142857163
2015-03-11,16.783333333333353
2015-03-12,16.793809523809543
2015-03-13,16.804285714285733
2015-03-16,16.814761904761923
2015-03-17,16.825238095238113
2015-03-18,16.835714285714303
2015-03-19,16.846190476190493
2015-03-20,16.856666666666683
2015-03-23,16.867142857142873
2015-03-24,16.877619047619064
2015-03-25,16.888095238095254
2015-03-26,16.898571428571444
2015-03-27,16.909047619047634
2015-03-30,16.919523809523824
2015-03-31,16.930000000000014
2015-04-01,16.906818181818196
2015-04-02,16.883636363636377
2015-04-03,16.86045454545456
2015-04-06,16.83727272727274
2015-04-07,16.814090909090922
2015-04-08,16.790909090909103
2015-04-09,16.767727272727285
2015-04-10,16.744545454545467
2015-04-13,16.721363636363648
2015-04-14,16.69818181818183
2015-04-15,16.67500000000001
2015-04-16,16.651818181818193
2015-04-17,16.628636363636375
2015-04-20,16.605454545454556
2015-04-21,16.582272727272738
2015-04-22,16.55909090909092
2015-04-23,16.5359090909091
2015-04-24,16.512727272727282
2015-04-27,16.489545454545464
2015-04-28,16.466363636363646
2015-04-29,16.443181818181827
2015-04-30,16.42000000000001
2015-05-05,16.38631578947369
2015-05-06,16.352631578947374
2015-05-07,16.318947368421057
2015-05-08,16.28526315789474
2015-05-12,16.251578947368422
2015-05-13,16.217894736842105
2015-05-14,16.184210526315788
2015-05-15,16.15052631578947
2015-05-18,16.116842105263153
2015-05-19,16.083157894736836
2015-05-20,16.04947368421052
2015-05-21,16.0157894736842
2015-05-22,15.982105263157885
2015-05-25,15.94842105263157
2015-05-26,15.914736842105254
2015-05-27,15.881052631578939
2015-05-28,15.847368421052623
2015-05-29,15.813684210526308
2015-05-31,15.779999999999992
2015-06-01,15.756666666666659
2015-06-02,15.733333333333325
2015-06-03,15.709999999999992
2015-06-04,15.686666666666659
2015-06-05,15.663333333333325
2015-06-08,15.639999999999992
2015-06-09,15.616666666666658
2015-06-10,15.593333333333325
2015-06-11,15.569999999999991
2015-06-15,15.546666666666658
2015-06-16,15.523333333333325
2015-06-17,15.499999999999991
2015-06-18,15.476666666666658
2015-06-19,15.453333333333324
2015-06-22,15.42999999999999
2015-06-23,15.406666666666657
2015-06-24,15.383333333333324
2015-06-25,15.35999999999999
2015-06-26,15.336666666666657
2015-06-29,15.313333333333324
2015-06-30,15.28999999999999
2015-07-01,15.305217391304339
2015-07-02,15.320434782608688
2015-07-03,15.335652173913036
2015-07-06,15.350869565217385
2015-07-07,15.366086956521734
2015-07-08,15.381304347826083
2015-07-09,15.396521739130431
2015-07-10,15.41173913043478
2015-07-13,15.426956521739129
2015-07-14,15.442173913043478
2015-07-15,15.457391304347826
2015-07-16,15.472608695652175
2015-07-17,15.487826086956524
2015-07-20,15.503043478260873
2015-07-21,15.518260869565221
2015-07-22,15.53347826086957
2015-07-23,15.548695652173919
2015-07-24,15.563913043478268
2015-07-27,15.579130434782616
2015-07-28,15.594347826086965
2015-07-29,15.609565217391314
2015-07-30,15.624782608695662
2015-07-31,15.640000000000011
2015-08-03,15.646190476190487
2015-08-04,15.652380952380962
2015-08-05,15.658571428571438
2015-08-06,15.664761904761914
2015-08-07,15.67095238095239
2015-08-10,15.677142857142865
2015-08-11,15.68333333333334
2015-08-12,15.689523809523816
2015-08-13,15.695714285714292
2015-08-14,15.701904761904768
2015-08-17,15.708095238095243
2015-08-18,15.714285714285719
2015-08-19,15.720476190476194
2015-08-20,15.72666666666667
2015-08-21,15.732857142857146
